District Nces Id,district_name,week,learning_modality,operational_schools,student_count,city,state,zip_code
100005,Albertville City,2022-08-28T00:00:00.000,In Person,6,5824,Albertville,AL,35950
100006,Marshall County,2022-08-28T00:00:00.000,In Person,15,5764,Guntersville,AL,35976
100007,Hoover City,2022-08-28T00:00:00.000,In Person,18,14061,Hoover,AL,35243
100008,Madison City,2022-08-28T00:00:00.000,In Person,11,11695,Madison,AL,35758
100011,Leeds City,2022-08-28T00:00:00.000,In Person,4,2076,Leeds,AL,35094
100012,Boaz City,2022-08-28T00:00:00.000,In Person,5,2440,Boaz,AL,35957
100100,Arab City,2022-08-28T00:00:00.000,In Person,4,2696,Arab,AL,35016
100185,Saraland City,2022-08-28T00:00:00.000,In Person,4,3233,Saraland,AL,36571
100190,Alabaster City,2022-08-28T00:00:00.000,In Person,5,6293,Alabaster,AL,35007
100194,Pelham City,2022-08-28T00:00:00.000,In Person,4,3383,Pelham,AL,35124
100197,Acceleration Day and Evening Academy,2022-08-28T00:00:00.000,In Person,1,318,Mobile,AL,36606
100199,University Charter School,2022-08-28T00:00:00.000,In Person,1,431,Livingston,AL,35470
100210,Auburn City,2022-08-28T00:00:00.000,In Person,13,8930,Auburn,AL,36830
100240,Autauga County,2022-08-28T00:00:00.000,In Person,15,9120,Prattville,AL,36067
100270,Baldwin County,2022-08-28T00:00:00.000,In Person,46,30602,Bay Minette,AL,36507
100300,Barbour County,2022-08-28T00:00:00.000,In Person,3,703,Clayton,AL,36016
100390,Birmingham City,2022-08-28T00:00:00.000,In Person,51,22726,Birmingham,AL,35203
100420,Blount County,2022-08-28T00:00:00.000,In Person,17,7653,Oneonta,AL,35121
100480,Bullock County,2022-08-28T00:00:00.000,In Person,4,1459,Union Springs,AL,36089
100510,Butler County,2022-08-28T00:00:00.000,In Person,7,2952,Greenville,AL,36037
100540,Calhoun County,2022-08-28T00:00:00.000,In Person,19,8495,Anniston,AL,36206
100600,Chambers County,2022-08-28T00:00:00.000,In Person,11,3479,Lafayette,AL,36862
100660,Chilton County,2022-08-28T00:00:00.000,In Person,14,7831,Clanton,AL,35045
100720,Clarke County,2022-08-28T00:00:00.000,In Person,7,2362,Grove Hill,AL,36451
100750,Clay County,2022-08-28T00:00:00.000,In Person,4,1840,Ashland,AL,36251
100810,Coffee County,2022-08-28T00:00:00.000,In Person,4,2467,Elba,AL,36323
100930,Covington County,2022-08-28T00:00:00.000,In Person,9,3056,Andalusia,AL,36421
101020,Cullman County,2022-08-28T00:00:00.000,In Person,28,9349,Cullman,AL,35055
101050,Dale County,2022-08-28T00:00:00.000,In Person,8,3259,Ozark,AL,36360
101080,Daleville City,2022-08-28T00:00:00.000,In Person,3,1142,Daleville,AL,36322
101140,DeKalb County,2022-08-28T00:00:00.000,In Person,16,8973,Rainsville,AL,35986
101230,Dothan City,2022-08-28T00:00:00.000,In Person,16,8701,DOTHAN,AL,36301
101290,Elmore County,2022-08-28T00:00:00.000,In Person,16,11557,Wetumpka,AL,36092
101320,Enterprise City,2022-08-28T00:00:00.000,In Person,10,6839,Enterprise,AL,36330
101380,Etowah County,2022-08-28T00:00:00.000,In Person,24,8614,Gadsden,AL,35904
101470,Fayette County,2022-08-28T00:00:00.000,In Person,6,2230,Fayette,AL,35555
101530,Florence City,2022-08-28T00:00:00.000,In Person,9,4484,Florence,AL,35630
101590,Franklin County,2022-08-28T00:00:00.000,In Person,10,3674,Russellville,AL,35653
101640,Geneva City,2022-08-28T00:00:00.000,In Person,3,1268,Geneva,AL,36340
101680,Greene County,2022-08-28T00:00:00.000,In Person,5,1012,Eutaw,AL,35462
101730,Hartselle City,2022-08-28T00:00:00.000,In Person,6,3519,Hartselle,AL,35640
101770,Houston County,2022-08-28T00:00:00.000,In Person,12,6479,Dothan,AL,36302
101800,Huntsville City,2022-08-28T00:00:00.000,In Person,46,23882,Huntsville,AL,35801
101830,Jackson County,2022-08-28T00:00:00.000,In Person,18,5188,Scottsboro,AL,35768
101860,Jacksonville City,2022-08-28T00:00:00.000,In Person,2,1639,Jacksonville,AL,36265
101890,Jasper City,2022-08-28T00:00:00.000,In Person,5,2734,Jasper,AL,35501
101920,Jefferson County,2022-08-28T00:00:00.000,In Person,58,36359,Birmingham,AL,35209
102070,Lee County,2022-08-28T00:00:00.000,In Person,14,9508,Opelika,AL,36804
102100,Limestone County,2022-08-28T00:00:00.000,In Person,17,11042,Athens,AL,35611
102220,Madison County,2022-08-28T00:00:00.000,In Person,30,19478,Huntsville,AL,35811
102250,Marengo County,2022-08-28T00:00:00.000,In Person,3,1018,Linden,AL,36748
